frame,timestamp,seconds,source,file,decision,severity,typography,imagery,motion,composition,narrative,overall,failed_gates,observed_evidence
01,00:00:00.000,0.000,interval,frame-00-00-00-000.jpg,REJECT,P0,0,0,0,1,0,0,T03 · M01 · C03 · N02,"Blank opening frame; no title, episode identity, claim, or visible evidence."
02,00:00:00.100,0.100,cue,frame-00-00-00-100.jpg,REJECT,P0,2,2,2,2,5,2,T01 · T02 · T04 · I01 · C03,Transitional scale-in exposes undersized raster and unreadable labels; no mark.
03,00:00:05.000,5.000,interval,frame-00-00-05-000.jpg,REJECT,P0,3,3,2,3,7,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal.
04,00:00:05.158,5.158,cue,frame-00-00-05-158.jpg,REJECT,P0,3,3,2,3,7,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal.
05,00:00:07.416,7.416,cue,frame-00-00-07-416.jpg,REJECT,P0,3,3,2,3,7,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal.
06,00:00:10.000,10.000,interval,frame-00-00-10-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
07,00:00:14.062,14.062,cue,frame-00-00-14-062.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
08,00:00:15.000,15.000,interval,frame-00-00-15-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
09,00:00:16.624,16.624,cue,frame-00-00-16-624.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
10,00:00:18.499,18.499,cue,frame-00-00-18-499.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
11,00:00:20.000,20.000,interval,frame-00-00-20-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
12,00:00:22.499,22.499,cue,frame-00-00-22-499.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
13,00:00:25.000,25.000,interval,frame-00-00-25-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
14,00:00:27.291,27.291,cue,frame-00-00-27-291.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
15,00:00:30.000,30.000,interval,frame-00-00-30-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
16,00:00:31.124,31.124,cue,frame-00-00-31-124.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
17,00:00:35.000,35.000,interval,frame-00-00-35-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
18,00:00:37.197,37.197,cue,frame-00-00-37-197.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
19,00:00:40.000,40.000,interval,frame-00-00-40-000.jpg,REJECT,P0,2,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · T03 · N02,"Failure-economics card visibly collides labels around the center divider; other global type, raster, motion, and identity failures remain. Scene timing does not match the active narration cue."
20,00:00:45.000,45.000,interval,frame-00-00-45-000.jpg,REJECT,P0,2,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · T03 · N02,"Failure-economics card visibly collides labels around the center divider; other global type, raster, motion, and identity failures remain. Scene timing does not match the active narration cue."
21,00:00:45.864,45.864,cue,frame-00-00-45-864.jpg,REJECT,P0,2,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · T03 · N02,"Failure-economics card visibly collides labels around the center divider; other global type, raster, motion, and identity failures remain. Scene timing does not match the active narration cue."
22,00:00:50.000,50.000,interval,frame-00-00-50-000.jpg,REJECT,P0,3,3,2,3,2,2,T01 · T02 · T04 · I01 · M01 · M03 · C03 · C04 · N02,Static 1280×720 evidence card is upscaled; 28 px caption/18 px kicker and embedded labels miss floors; whole-card entrance is not a causal reveal. Scene timing does not match the active narration cue.
